date,close,high,low,open,volume
2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241
2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289
2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221
2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772
2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159
2018-05-16 00:00:00+00:00,188.18,188.46,186,186.07,19183064
2018-05-17 00:00:00+00:00,186.99,188.91,186.36,188,17294029
2018-05-18 00:00:00+00:00,186.31,187.8102,186.13,187.19,18297728
2018-05-21 00:00:00+00:00,187.63,189.27,186.9106,188,18400787
2018-05-22 00:00:00+00:00,187.16,188.88,186.78,188.375,15240704
2018-05-23 00:00:00+00:00,188.36,188.5,185.76,186.35,20058415
2018-05-24 00:00:00+00:00,188.15,188.84,186.21,188.77,23233975
2018-05-25 00:00:00+00:00,188.58,189.65,187.65,188.23,17460963
2018-05-29 00:00:00+00:00,187.9,188.75,186.87,187.6,22514075
2018-05-30 00:00:00+00:00,187.5,188,186.78,187.72,18690547
2018-05-31 00:00:00+00:00,186.87,188.23,186.14,187.22,27482793
2018-06-01 00:00:00+00:00,190.24,190.26,187.75,187.9912,23442510
2018-06-04 00:00:00+00:00,191.83,193.42,191.35,191.635,26266174
2018-06-05 00:00:00+00:00,193.31,193.94,192.36,193.065,21565963
2018-06-06 00:00:00+00:00,193.98,194.08,191.92,193.63,20933619
2018-06-07 00:00:00+00:00,193.46,194.2,192.335,194.14,21347180
2018-06-08 00:00:00+00:00,191.7,192,189.77,191.17,26656799
2018-06-11 00:00:00+00:00,191.23,191.97,190.21,191.35,18308460
2018-06-12 00:00:00+00:00,192.28,192.611,191.15,191.385,16911141
2018-06-13 00:00:00+00:00,190.7,192.88,190.44,192.42,21638393
2018-06-14 00:00:00+00:00,190.8,191.57,190.22,191.55,21610074
2018-06-15 00:00:00+00:00,188.84,190.16,188.26,190.03,61719160
2018-06-18 00:00:00+00:00,188.74,189.22,187.2,187.88,18484865
2018-06-19 00:00:00+00:00,185.69,186.33,183.45,185.14,33578455
2018-06-20 00:00:00+00:00,186.5,187.2,185.73,186.35,20628701
2018-06-21 00:00:00+00:00,185.46,188.35,184.94,187.25,25711898
2018-06-22 00:00:00+00:00,184.92,186.15,184.7,186.12,27200447
2018-06-25 00:00:00+00:00,182.17,184.92,180.73,183.4,31663096
2018-06-26 00:00:00+00:00,184.43,186.53,182.54,182.99,24569201
2018-06-27 00:00:00+00:00,184.16,187.28,184.03,185.2278,25285328
2018-06-28 00:00:00+00:00,185.5,186.21,183.8,184.1,17365235
2018-06-29 00:00:00+00:00,185.11,187.19,182.91,186.29,22737666
2018-07-02 00:00:00+00:00,187.18,187.3,183.42,183.82,17731343
2018-07-03 00:00:00+00:00,183.92,187.95,183.54,187.79,13954806
2018-07-05 00:00:00+00:00,185.4,186.41,184.28,185.26,16604248
2018-07-06 00:00:00+00:00,187.97,188.434,185.2,185.42,17485245
2018-07-09 00:00:00+00:00,190.58,190.68,189.3,189.5,19756634
2018-07-10 00:00:00+00:00,190.35,191.28,190.1801,190.71,15939149
2018-07-11 00:00:00+00:00,187.88,189.7799,187.61,188.5,18831470
2018-07-12 00:00:00+00:00,191.03,191.41,189.31,189.53,18041131
2018-07-13 00:00:00+00:00,191.33,191.84,190.9,191.08,12519792
2018-07-16 00:00:00+00:00,190.91,192.65,190.415,191.52,15043110
2018-07-17 00:00:00+00:00,191.45,191.87,189.2,189.75,15534523
2018-07-18 00:00:00+00:00,190.4,191.8,189.93,191.78,16393381
2018-07-19 00:00:00+00:00,191.88,192.55,189.69,189.69,20286752
2018-07-20 00:00:00+00:00,191.44,192.43,190.17,191.78,20706042
2018-07-23 00:00:00+00:00,191.61,191.96,189.56,190.68,15989365
2018-07-24 00:00:00+00:00,193,193.6601,192.05,192.45,18697898
2018-07-25 00:00:00+00:00,194.82,194.85,192.43,193.0602,16826483
2018-07-26 00:00:00+00:00,194.21,195.96,193.61,194.61,19075964
2018-07-27 00:00:00+00:00,190.98,195.19,190.1,194.99,24023972
2018-07-30 00:00:00+00:00,189.91,192.2,189.07,191.9,21029535
2018-07-31 00:00:00+00:00,190.29,192.14,189.34,190.3,39373038
2018-08-01 00:00:00+00:00,201.5,201.76,197.31,199.13,67935716
2018-08-02 00:00:00+00:00,207.39,208.38,200.35,200.58,62404012
2018-08-03 00:00:00+00:00,207.99,208.74,205.4803,207.03,33447396
2018-08-06 00:00:00+00:00,209.07,209.25,207.07,208,25425387
2018-08-07 00:00:00+00:00,207.11,209.5,206.76,209.32,25587387
2018-08-08 00:00:00+00:00,207.25,207.81,204.52,206.05,22525487
2018-08-09 00:00:00+00:00,208.88,209.78,207.2,207.28,23492626
2018-08-10 00:00:00+00:00,207.53,209.1,206.67,207.36,24611202
2018-08-13 00:00:00+00:00,208.87,210.952,207.7,207.7,25890880
2018-08-14 00:00:00+00:00,209.75,210.56,208.26,210.155,20748010
2018-08-15 00:00:00+00:00,210.24,210.74,208.33,209.22,28807564
2018-08-16 00:00:00+00:00,213.32,213.8121,211.47,211.75,28500367
2018-08-17 00:00:00+00:00,217.58,217.95,213.16,213.44,35426997
2018-08-20 00:00:00+00:00,215.46,219.18,215.11,218.1,30287695
2018-08-21 00:00:00+00:00,215.04,217.19,214.025,216.8,26159755
2018-08-22 00:00:00+00:00,215.05,216.36,213.84,214.1,19018131
2018-08-23 00:00:00+00:00,215.49,217.05,214.6,214.65,18883224
2018-08-24 00:00:00+00:00,216.16,216.9,215.11,216.6,18476356
2018-08-27 00:00:00+00:00,217.94,218.74,216.33,217.15,20525117
2018-08-28 00:00:00+00:00,219.7,220.54,218.92,219.01,22776766
2018-08-29 00:00:00+00:00,222.98,223.49,219.41,220.15,27254804
2018-08-30 00:00:00+00:00,225.03,228.26,222.4,223.25,48793824
2018-08-31 00:00:00+00:00,227.63,228.87,226,226.51,43340134
2018-09-04 00:00:00+00:00,228.36,229.18,226.63,228.41,27390132
2018-09-05 00:00:00+00:00,226.87,229.67,225.1,228.99,33332960
2018-09-06 00:00:00+00:00,223.1,227.35,221.3,226.23,34289976
2018-09-07 00:00:00+00:00,221.3,225.37,220.71,221.85,37619810
2018-09-10 00:00:00+00:00,218.33,221.85,216.47,220.95,39516453
2018-09-11 00:00:00+00:00,223.85,224.299,216.56,218.01,35749049
2018-09-12 00:00:00+00:00,221.07,225,219.84,224.94,49278740
2018-09-13 00:00:00+00:00,226.41,228.35,222.57,223.52,41706377
2018-09-14 00:00:00+00:00,223.84,226.84,222.522,225.75,31999289
2018-09-17 00:00:00+00:00,217.88,222.95,217.27,222.15,37195133
2018-09-18 00:00:00+00:00,218.24,221.85,217.12,217.79,31571712
2018-09-19 00:00:00+00:00,218.37,219.62,215.3,218.5,27123833
2018-09-20 00:00:00+00:00,220.03,222.28,219.15,220.24,26608794
2018-09-21 00:00:00+00:00,217.66,221.36,217.29,220.78,96246748
2018-09-24 00:00:00+00:00,220.79,221.26,216.63,216.82,27693358
2018-09-25 00:00:00+00:00,222.19,222.82,219.7,219.75,24554379
2018-09-26 00:00:00+00:00,220.42,223.75,219.76,221,23984706
2018-09-27 00:00:00+00:00,224.95,226.44,223.54,223.82,30181227
2018-09-28 00:00:00+00:00,225.74,225.84,224.02,224.79,22929364
2018-10-01 00:00:00+00:00,227.26,229.42,226.35,227.95,23600802
2018-10-02 00:00:00+00:00,229.28,230,226.63,227.25,24788170
2018-10-03 00:00:00+00:00,232.07,233.47,229.78,230.05,28654799
2018-10-04 00:00:00+00:00,227.99,232.35,226.73,230.78,32042000
2018-10-05 00:00:00+00:00,224.29,228.41,220.58,227.96,33580463
2018-10-08 00:00:00+00:00,223.77,224.8,220.2,222.21,29663923
2018-10-09 00:00:00+00:00,226.87,227.27,222.2462,223.64,26891029
2018-10-10 00:00:00+00:00,216.36,226.35,216.05,225.46,41990554
2018-10-11 00:00:00+00:00,214.45,219.5,212.32,214.52,53124392
2018-10-12 00:00:00+00:00,222.11,222.88,216.84,220.42,40337851
2018-10-15 00:00:00+00:00,217.36,221.83,217.27,221.16,30791007
2018-10-16 00:00:00+00:00,222.15,222.99,216.7627,218.93,29183963
2018-10-17 00:00:00+00:00,221.19,222.64,219.34,222.3,22885397
2018-10-18 00:00:00+00:00,216.02,219.74,213,217.86,32581315
2018-10-19 00:00:00+00:00,219.31,221.26,217.43,218.06,33078726
2018-10-22 00:00:00+00:00,220.65,223.36,218.94,219.79,28792082
2018-10-23 00:00:00+00:00,222.73,223.25,214.7,215.83,38767846
2018-10-24 00:00:00+00:00,215.09,224.23,214.54,222.6,40925163
2018-10-25 00:00:00+00:00,219.8,221.38,216.75,217.71,29855768
2018-10-26 00:00:00+00:00,216.3,220.19,212.67,215.9,47258375
2018-10-29 00:00:00+00:00,212.24,219.69,206.09,219.19,45935520
2018-10-30 00:00:00+00:00,213.3,215.18,209.27,211.15,36659990
2018-10-31 00:00:00+00:00,218.86,220.45,216.62,216.88,38358933
2018-11-01 00:00:00+00:00,222.22,222.36,216.81,219.05,58323180
2018-11-02 00:00:00+00:00,207.48,213.65,205.43,209.55,91328654
2018-11-05 00:00:00+00:00,201.59,204.39,198.17,204.3,66163669
2018-11-06 00:00:00+00:00,203.77,204.72,201.69,201.92,31882881
2018-11-07 00:00:00+00:00,209.95,210.06,204.13,205.97,33424434
2018-11-08 00:00:00+00:00,208.49,210.12,206.75,209.98,25362636
2018-11-09 00:00:00+00:00,204.47,206.01,202.25,205.55,34365750
2018-11-12 00:00:00+00:00,194.17,199.85,193.79,199,51135518
2018-11-13 00:00:00+00:00,192.23,197.18,191.4501,191.63,46882936
2018-11-14 00:00:00+00:00,186.8,194.48,185.93,193.9,60800957
2018-11-15 00:00:00+00:00,191.41,191.97,186.9,188.39,46478801
2018-11-16 00:00:00+00:00,193.53,194.9695,189.46,190.5,36928253
2018-11-19 00:00:00+00:00,185.86,190.7,184.99,190,41920872
2018-11-20 00:00:00+00:00,176.98,181.47,175.51,178.37,67825247
2018-11-21 00:00:00+00:00,176.78,180.27,176.55,179.73,31124210
2018-11-23 00:00:00+00:00,172.29,176.595,172.1,174.94,23623972
2018-11-26 00:00:00+00:00,174.62,174.95,170.26,174.24,44998520
2018-11-27 00:00:00+00:00,174.24,174.77,170.88,171.51,41387377
2018-11-28 00:00:00+00:00,180.94,181.29,174.93,176.73,46062539
2018-11-29 00:00:00+00:00,179.55,182.8,177.7,182.66,41769992
2018-11-30 00:00:00+00:00,178.58,180.33,177.03,180.29,39531549
2018-12-03 00:00:00+00:00,184.82,184.94,181.21,184.46,40798002
2018-12-04 00:00:00+00:00,176.69,182.3899,176.27,180.95,41344282
2018-12-06 00:00:00+00:00,174.72,174.78,170.42,171.76,43098410
2018-12-07 00:00:00+00:00,168.49,174.49,168.3,173.49,42281631
2018-12-10 00:00:00+00:00,169.6,170.09,163.33,165,62025994
2018-12-11 00:00:00+00:00,168.63,171.79,167,171.66,47281665
2018-12-12 00:00:00+00:00,169.1,171.92,169.02,170.4,35627674
2018-12-13 00:00:00+00:00,170.95,172.57,169.55,170.49,31897827
2018-12-14 00:00:00+00:00,165.48,169.08,165.28,169,40703710
2018-12-17 00:00:00+00:00,163.94,168.35,162.73,165.45,44287922
2018-12-18 00:00:00+00:00,166.07,167.53,164.39,165.38,33841518
2018-12-19 00:00:00+00:00,160.89,167.45,159.09,166,49047297
2018-12-20 00:00:00+00:00,156.83,162.11,155.3,160.4,64772960
2018-12-21 00:00:00+00:00,150.73,158.16,149.63,156.86,95744384
2018-12-24 00:00:00+00:00,146.83,151.55,146.59,148.15,37169232
